0,1,2
0,8,6
0,25,7
0,21,2
1,7,7
1,6,1
1,23,1
1,37,10
1,26,4
2,3,2
2,4,5
2,5,8
2,51,1
2,9,8
2,21,10
2,48,3
2,30,5
2,31,2
2,50,4
3,5,4
3,6,9
3,15,4
3,11,2
3,38,7
3,4,1
4,25,3
4,27,3
4,26,9
4,13,5
4,6,3
5,17,2
5,31,4
5,9,7
5,12,3
6,12,2
6,47,6
6,20,4
7,8,6
7,9,2
7,48,8
8,9,7
8,36,10
8,37,9
8,41,4
9,12,7
9,48,6
9,45,2
10,11,6
10,12,1
10,13,6
10,22,5
11,13,2
11,22,10
11,50,6
11,23,4
12,14,2
12,41,3
12,30,3
12,16,6
12,34,10
12,50,1
13,14,5
13,16,7
13,20,8
13,29,6
14,16,4
14,39,10
14,18,9
14,34,6
14,45,9
15,17,8
15,18,6
15,29,8
15,37,1
15,38,6
15,24,3
16,17,8
16,18,5
16,23,4
17,20,6
17,28,3
17,33,9
17,49,1
18,40,7
18,27,10
19,20,10
19,21,8
19,31,4
19,26,1
19,38,4
20,21,2
20,27,6
20,23,8
20,35,8
20,37,9
21,23,2
21,47,9
22,25,1
22,41,4
22,48,2
23,24,4
24,26,9
24,33,1
24,39,8
25,26,2
25,27,4
25,28,2
25,40,1
25,46,5
25,48,8
26,28,4
26,51,6
27,30,8
27,34,9
27,41,4
28,29,8
28,30,3
28,31,4
28,51,7
29,31,3
29,45,7
29,46,10
30,51,10
30,47,6
30,38,10
31,50,6
32,34,4
32,35,10
32,40,5
32,39,6
32,47,1
33,36,9
33,37,4
33,42,2
34,51,4
35,36,5
35,43,6
35,40,3
36,38,9
36,39,3
36,45,9
38,43,4
39,41,10
40,47,1
40,51,10
42,45,6
42,46,4
43,45,8
44,45,2
44,46,6
44,47,10
46,47,10
46,49,8
49,50,9
49,51,5
50,51,4
